grapheme,alias,notes
111.2 Hz,one eleven point two hertz,KEYSTONE — never 'one hundred eleven'; already expanded in scripts
Hz,hertz,Always the word; never H-Z (already expanded in scripts)
Masters X,Masters X,"Letter X, not 'ten'"
Moleskine,MOLE-skin-uh,Blake's notebooks; IX already expanded to Nine in scripts
SubTropolis,sub-TROP-oh-lis,KC underground
Strahov,STRAH-hoff,Prague monastery
Mýrdalsjökull,MEER-dals-YO-kut,Blake's Iceland glacier — author preferred
Mýrdal,MEER-dal,Short form
Černá,CHER-nah,Eva Černá
Volkov,VOL-koff,Nadia / Sabrina
Meramec,MERR-uh-mek,Caverns
Ozark,OH-zark,Lake / region
Adam-ondi-Ahman,Adam-ON-dye-AH-man,LDS site
Ars Notoria,ars no-TOR-ee-ah,Medieval text
Aldric,ALL-drik,Brother Aldric
Cognigenics,cog-nih-JEN-iks,Faction — stress second syllable
Asante,ah-SAHN-tay,Dr. Kofi / Ama Ata Asante
Tanaka,tah-NAH-kah,Yuki Tanaka
Chartres,SHART-ruh,"Cathedral, Vol. II"
Reims,RANCE,French pronunciation
Bohemia,bo-HEE-mee-ah,Prologue setting
Ghana,GAH-nah,Volta Region
Reykjavík,RAY-kyah-veek,Iceland capital
Keflavík,KEF-lah-veek,KEF airport
Vík,VEEK,Iceland village
Katarína,kah-tah-REE-nah,Icelandic name
Václav,VAHTS-lahv,Czech name
Pohořelec,po-HO-rzheh-lets,Prague district
Malá Strana,MAH-lah STRAH-nah,Prague district
Staré Město,STAH-reh MYES-toh,Prague Old Town
Malostranská,mah-lo-STRAHN-skah,Prague metro
Berchères,bair-SHAIR,Chartres quarry village
Laflèche,lah-FLESH,Père Laflèche
Père,PAIR,French: Father
krónur,KROH-nur,Icelandic currency plural
Gaudí,gow-DEE,Architect
Sagrada Família,sah-GRAH-dah fah-MEE-lee-ah,Barcelona
Colònia Güell,ko-LOH-nee-ah GWELL,Gaudí crypt
Plaça,PLAH-sah,Catalan: plaza
São Paulo,sow POW-loo,Brazil
Grüner Veltliner,GROO-ner VELT-lee-ner,Wine
trompe l'œil,tromp LOY,French art term
kunstkammer,KOONST-kah-mer,Rudolf II's cabinet
nota,NOH-tah,Ars Notoria figure (sing.)
notae,NOH-tie,Ars Notoria figures (pl.)
figura,fih-GOO-rah,Latin: figure
scriptorium,skrip-TOR-ee-um,Monastery writing room
Matins,MAT-inz,Monastic office
DURC,D U R C,Spell out — dual use research of concern
UMKC,U M K C,Spell out
Ho,HOH,"Ghana, Volta Region town"
