entity,occurrence_count,books,categories,sample_lines
Foundation,243,1;2;3,gazetteer,B1:844|B1:2653|B1:4333|B1:4412|B1:4499|B1:4500|B1:4524|B1:4527|B1:4542|B1:4571|B1:4605|B2:196|B2:312|B2:543|B2:611|B2:636|B2:698|B2:717|B2:739|B2:788
Kansas City,128,1;2;3,proper_noun_phrase,B1:199|B1:535|B1:748|B1:888|B1:966|B1:1001|B1:1231|B1:1310|B1:1489|B1:1491|B1:1626|B1:1698|B1:1721|B1:1915|B1:2072|B1:2227|B1:2232|B1:2462|B1:2508|B1:2698
Iceland,109,1;2;3,gazetteer,B1:19|B2:12|B2:40|B2:45|B2:156|B2:236|B2:242|B2:610|B2:765|B2:783|B2:815|B2:904|B2:1083|B2:1163|B2:1170|B2:1210|B2:1325|B2:1556|B2:1765|B2:1820
Prague,103,1;2;3,gazetteer,B1:76|B1:181|B1:1865|B1:2443|B1:2444|B1:2482|B1:2486|B1:2487|B1:2488|B1:2499|B1:2681|B1:2685|B1:2688|B1:2695|B1:2698|B1:2699|B1:2713|B1:2719|B1:2723|B1:2727
Strahov,91,1;2;3,gazetteer,B1:2149|B1:2457|B1:2476|B1:2488|B1:2499|B1:2688|B1:2720|B1:2737|B1:2838|B1:2862|B1:2952|B1:3035|B1:3080|B1:3225|B1:3246|B1:3250|B1:3415|B1:3431|B1:3696|B1:3709
Quality Hill,43,1;2;3,gazetteer;proper_noun_phrase,B1:4468|B1:4468|B2:1495|B2:1495|B2:1622|B2:1622|B2:1773|B2:1773|B2:1819|B2:1819|B2:3108|B2:3108|B3:53|B3:1429|B3:2147|B3:2147|B3:2265|B3:2334|B3:2334|B3:4005
Cognigenics,41,2;3,gazetteer,B2:544|B2:1271|B2:1358|B2:1436|B2:2038|B2:2065|B2:2089|B2:2755|B2:2758|B2:2781|B2:2782|B2:2814|B2:2949|B2:3010|B2:3067|B2:3111|B2:3117|B2:4937|B2:4946|B2:4947
SubTropolis,39,1;2;3,gazetteer,B1:263|B1:373|B1:456|B1:458|B1:501|B1:585|B1:694|B1:796|B1:949|B1:1040|B1:1266|B1:1298|B1:1462|B1:1723|B1:1725|B1:1877|B1:2107|B1:2108|B1:2202|B1:2226
109 Hz,37,1;2;3,address,B1:199|B1:535|B1:748|B1:966|B1:1231|B1:1489|B1:1698|B1:1915|B1:2072|B1:2227|B1:2508|B1:2734|B1:3838|B1:3936|B1:4061|B2:2476|B2:2498|B2:2508|B2:3481|B2:3798
Moreau,35,1;2;3,gazetteer,B1:987|B1:1312|B1:1313|B1:1578|B1:1589|B1:1727|B1:1752|B1:1754|B1:1794|B1:1803|B1:1813|B1:1814|B1:1843|B1:1844|B1:1876|B1:2180|B1:2190|B1:2345|B1:2349|B1:2545
Aldric,34,1;2;3,gazetteer,B1:13|B1:26|B1:33|B1:38|B1:44|B1:46|B1:55|B1:59|B1:63|B1:67|B1:74|B1:89|B1:95|B1:111|B1:130|B1:134|B1:147|B1:155|B1:181|B1:2603
Volta,34,2;3,gazetteer,B2:641|B2:661|B2:671|B2:699|B2:730|B2:1848|B2:4162|B2:4198|B2:4210|B2:4241|B2:4254|B2:4414|B2:4433|B2:4485|B2:4563|B2:6186|B2:6361|B2:6405|B2:6458|B2:6694
