from_id,from_name,to_id,to_name,straight_line_miles,est_driving_minutes,est_walking_minutes,same_neighborhood
quality_hill,Quality Hill (10th & Pennsylvania),washington_11th,Washington St & 11th,0.13,5,3,YES
quality_hill,Quality Hill (10th & Pennsylvania),hotel_phillips,Hotel Phillips (106 W 12th),0.39,6,8,NO
quality_hill,Quality Hill (10th & Pennsylvania),west_bottoms,West Bottoms (12th & Genessee),0.73,7,15,NO
quality_hill,Quality Hill (10th & Pennsylvania),genessee_16xx,Genessee ~1600 (Livestock Exchange),0.72,7,14,NO
quality_hill,Quality Hill (10th & Pennsylvania),subtropolis,SubTropolis,7.37,21,147,NO
quality_hill,Quality Hill (10th & Pennsylvania),city_market,City Market / River Market,0.68,6,14,NO
quality_hill,Quality Hill (10th & Pennsylvania),westport,Westport (Westport & Broadway),3.49,13,70,NO
quality_hill,Quality Hill (10th & Pennsylvania),troost_31,Troost & 31st,3.06,12,61,NO
quality_hill,Quality Hill (10th & Pennsylvania),overland_park,Overland Park (downtown OP),9.37,26,187,NO
quality_hill,Quality Hill (10th & Pennsylvania),union_station,Union Station,1.30,8,26,NO
quality_hill,Quality Hill (10th & Pennsylvania),wyandotte,Wyandotte County center (KCK),2.08,10,42,NO
quality_hill,Quality Hill (10th & Pennsylvania),meramec,Meramec Caverns (Stanton),197.91,495,3958,NO
quality_hill,Quality Hill (10th & Pennsylvania),picture_cave,Picture Cave (Warren County approx),186.58,466,3732,NO
washington_11th,Washington St & 11th,quality_hill,Quality Hill (10th & Pennsylvania),0.13,5,3,YES
washington_11th,Washington St & 11th,hotel_phillips,Hotel Phillips (106 W 12th),0.28,6,6,NO
washington_11th,Washington St & 11th,west_bottoms,West Bottoms (12th & Genessee),0.83,7,17,NO
washington_11th,Washington St & 11th,genessee_16xx,Genessee ~1600 (Livestock Exchange),0.79,7,16,NO
washington_11th,Washington St & 11th,subtropolis,SubTropolis,7.36,21,147,NO
washington_11th,Washington St & 11th,city_market,City Market / River Market,0.70,7,14,NO
washington_11th,Washington St & 11th,westport,Westport (Westport & Broadway),3.39,12,68,NO
washington_11th,Washington St & 11th,troost_31,Troost & 31st,2.93,11,59,NO
