"FullName","Length","LastWriteTime"
"C:\Users\zh577\Desktop\google_books_upload\9798295778926.epub","877376","7/8/2026 7:27:42 PM"
"C:\Users\zh577\Desktop\SCP_Batch_Upload_Jul2026\01_google_play_books\content\9798295778926.epub","877376","7/8/2026 7:27:42 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files_2\Masters_X_Press_Kit.pdf","2183653","7/6/2026 3:24:48 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files_2\Masters_X_Fact_Sheet.pdf","586291","7/6/2026 3:24:48 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files_2\Masters_X_Synopses.pdf","312697","7/6/2026 3:24:48 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files_2\Masters_X_Press_Release.pdf","478769","7/6/2026 3:24:48 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files\Masters_X_Press_Kit.pdf","2184293","7/6/2026 2:57:28 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files\Masters_X_Fact_Sheet.pdf","586216","7/6/2026 2:57:28 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files\Masters_X_Synopses.pdf","312943","7/6/2026 2:57:28 PM"
"C:\Users\zh577\Desktop\Press Release Files\extracted_files\Masters_X_Press_Release.pdf","478525","7/6/2026 2:57:28 PM"
"C:\Users\zh577\Desktop\amazon_kdp_upload\Masters_X_The_Kingdom_B0H4L36X21.epub","4244573","7/3/2026 6:06:21 PM"
"C:\Users\zh577\Desktop\amazon_kdp_upload\Masters_X_The_Grimoire_B0H4KQ4YQJ.epub","7488272","7/3/2026 6:06:18 PM"
"C:\Users\zh577\Desktop\amazon_kdp_upload\Masters_X_The_Inheritance_of_Frequency_B0H4KYMSM1.epub","6152348","7/3/2026 6:06:09 PM"
"C:\Users\zh577\Desktop\SCP_Batch_Upload_Jul2026\01_google_play_books\content\9798256009809.epub","4244535","7/3/2026 5:30:19 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798256009809.epub","4244535","7/3/2026 5:30:19 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798256009625.epub","7488233","7/3/2026 5:30:16 PM"
"C:\Users\zh577\Desktop\SCP_Batch_Upload_Jul2026\01_google_play_books\content\9798256009625.epub","7488233","7/3/2026 5:30:16 PM"
"C:\Users\zh577\Desktop\SCP_Batch_Upload_Jul2026\01_google_play_books\content\9798256008819.epub","6152309","7/3/2026 5:30:12 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798256008819.epub","6152309","7/3/2026 5:30:12 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798295812705_interior.pdf","458206","7/3/2026 5:30:11 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798295812675_interior.pdf","590141","7/3/2026 5:30:11 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798295800801_interior.pdf","394152","7/3/2026 5:30:11 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798256010072_interior.pdf","485359","7/3/2026 5:18:26 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798256009953_interior.pdf","629319","7/3/2026 5:18:26 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798256008048_interior.pdf","415761","7/3/2026 5:05:50 PM"
"C:\Users\zh577\Desktop\OMNIBUS_FINAL_FILES\MASTERS_X_OMNIBUS_PB_FINAL.pdf","3920397","7/2/2026 9:20:59 PM"
"C:\Users\zh577\Desktop\OMNIBUS_FINAL_FILES\MASTERS_X_OMNIBUS_HC_JACKET_FINAL_v9.pdf","25627004","7/2/2026 8:50:45 PM"
"C:\Users\zh577\Desktop\MASTERS_X_OMNIBUS_FIXED_2026-07-02\COVER_FIX_VERIFICATION.json","1763","7/2/2026 7:35:37 PM"
"C:\Users\zh577\Desktop\MASTERS_X_OMNIBUS_FIXED_2026-07-02\covers\MASTERS_X_OMNIBUS_DEMY_9798256072704_COVER.pdf","20660434","7/2/2026 7:34:56 PM"
"C:\Users\zh577\Desktop\MASTERS_X_OMNIBUS_FIXED_2026-07-02\covers\MASTERS_X_OMNIBUS_CASELAM_9798295884412_COVER.pdf","25627002","7/2/2026 7:34:44 PM"
"C:\Users\zh577\Desktop\MASTERS_X_OMNIBUS_FIXED_2026-07-02\interiors\MASTERS_X_OMNIBUS_DEMY_9798256072704_INTERIOR.pdf","1315741","7/2/2026 5:11:03 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798256072704_interior.pdf","1315741","7/2/2026 5:11:03 PM"
"C:\Users\zh577\Desktop\google_books_upload\9798295884412_interior.pdf","29715386","7/2/2026 4:24:00 PM"
"C:\Users\zh577\Desktop\MASTERS_X_OMNIBUS_FIXED_2026-07-02\source_backups\MASTERS_X_OMNIBUS_PB_FINAL.pdf","3033688","7/2/2026 9:10:40 AM"
"C:\Users\zh577\Desktop\MASTERS_X_OMNIBUS_FIXED_2026-07-02\source_backups\MASTERS_X_INGRAM_FULL.pdf","3285296","7/1/2026 10:26:08 PM"
"C:\Users\zh577\Desktop\OMNIBUS_FINAL_FILES\INTERIOR_MASTERS_X_OMNIBUS_PB_5x8_v8.pdf","1315742","6/30/2026 1:52:12 AM"
"C:\Users\zh577\Desktop\OMNIBUS_FINAL_FILES\INTERIOR_MASTERS_X_OMNIBUS_HC_6x9_v8.pdf","1293386","6/30/2026 1:51:48 AM"
"C:\Users\zh577\Desktop\MASTERS_X_OMNIBUS_FIXED_2026-07-02\source_backups\generate_omnibus_interior_PB_5x8_v8.py","32907","6/30/2026 1:49:54 AM"
