"FullName","Length","LastWriteTime"
"C:\Users\zh577\Downloads\compose_omnibus_covers_FINAL.py","43910","6/29/2026 3:27:53 AM"
"C:\Users\zh577\Downloads\KindleInteriors\MASTERS_X_BOOK3_KINDLE_B0H4L36X21.epub","4235267","6/26/2026 10:13:43 AM"
"C:\Users\zh577\Downloads\KindleInteriors\MASTERS_X_BOOK2_KINDLE_B0H4KQ4YQJ.epub","7472021","6/26/2026 10:13:43 AM"
"C:\Users\zh577\Downloads\KindleInteriors\MASTERS_X_BOOK1_KINDLE_B0H4KYMSM1.epub","6144217","6/26/2026 10:13:43 AM"
"C:\Users\zh577\Downloads\HardcoverInteriors\COVER_OMNIBUS_HC_9798295884412.pdf","44188760","6/26/2026 9:22:34 AM"
"C:\Users\zh577\Downloads\HardcoverInteriors\COVER_OMNIBUS_PB_9798256072704.pdf","30306589","6/26/2026 9:22:33 AM"
"C:\Users\zh577\Downloads\HardcoverInteriors\INTERIOR_OMNIBUS_ROYAL_9798295884412.pdf","1138016","6/26/2026 9:22:33 AM"
"C:\Users\zh577\Downloads\HardcoverInteriors\INTERIOR_OMNIBUS_DEMY_9798256072704.pdf","1200623","6/26/2026 9:22:33 AM"
"C:\Users\zh577\Downloads\HardcoverInteriors\MASTERS_X_BOOK3_ROYAL_9798295812705.pdf","388342","6/26/2026 9:22:33 AM"
"C:\Users\zh577\Downloads\HardcoverInteriors\MASTERS_X_BOOK2_ROYAL_9798295812675.pdf","506409","6/26/2026 9:22:33 AM"
"C:\Users\zh577\Downloads\HardcoverInteriors\MASTERS_X_BOOK1_ROYAL_9798295800801.pdf","329237","6/26/2026 9:22:33 AM"
"C:\Users\zh577\Downloads\EPUBS\MASTERS_X_BOOK3_EPUB_9798256009809.epub","4235254","6/26/2026 1:25:44 AM"
"C:\Users\zh577\Downloads\EPUBS\MASTERS_X_BOOK2_EPUB_9798256009625.epub","7472006","6/26/2026 1:25:43 AM"
"C:\Users\zh577\Downloads\EPUBS\MASTERS_X_BOOK1_EPUB_9798256008819.epub","6144205","6/26/2026 1:25:43 AM"
