"FullName","Length","LastWriteTime"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\b3_kingdom\9798295812705_HC\DUSTJACKET_BOOK3.pdf","10149128","7/28/2026 5:45:35 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\b3_kingdom\9798256010072_PB\COVER_MASTERS_X_BOOK3_PB.pdf","775815","7/28/2026 5:45:35 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\b2_grimoire\9798295812675_HC\DUSTJACKET_BOOK2.pdf","10735294","7/28/2026 5:45:34 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\b2_grimoire\9798256009953_PB\COVER_MASTERS_X_BOOK2_PB.pdf","1192598","7/28/2026 5:45:34 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\b1_inheritance\9798295800801_HC\DUSTJACKET_BOOK1_FLATTENED.pdf","2984568","7/28/2026 5:45:33 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\_docs\run_log_v6_STALE.json","14883","7/28/2026 5:45:32 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\_covers\print_recoverable\DUSTJACKET_BOOK3.pdf","10149128","7/28/2026 5:45:32 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\_covers\print_recoverable\DUSTJACKET_BOOK2.pdf","10735294","7/28/2026 5:45:30 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\_covers\print_recoverable\DUSTJACKET_BOOK1_FLATTENED.pdf","2984568","7/28/2026 5:45:29 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\_covers\print_recoverable\COVER_MASTERS_X_BOOK3_PB.pdf","775815","7/28/2026 5:45:29 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\production_staging\_covers\print_recoverable\COVER_MASTERS_X_BOOK2_PB.pdf","1192598","7/28/2026 5:45:29 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\seventhcitypress\public\press-kit\Masters_X_Press_Kit.pdf","17505","7/15/2026 7:54:45 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\public\press-kit\Masters_X_Press_Kit.pdf","17505","7/15/2026 7:54:45 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\public\press-kit\Masters_X_Synopses.pdf","5324","7/15/2026 7:54:43 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\seventhcitypress\public\press-kit\Masters_X_Synopses.pdf","5324","7/15/2026 7:54:43 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\seventhcitypress\public\press-kit\Masters_X_Fact_Sheet.pdf","4797","7/15/2026 7:54:43 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\public\press-kit\Masters_X_Fact_Sheet.pdf","4797","7/15/2026 7:54:43 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\seventhcitypress\public\press-kit\Masters_X_Press_Release.pdf","5806","7/15/2026 7:54:43 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\public\press-kit\Masters_X_Press_Release.pdf","5806","7/15/2026 7:54:43 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\scratch\compose_omnibus_covers_FINAL.py","58745","7/11/2026 6:27:17 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\scratch\extract_omnibus_text.py","984","7/11/2026 6:27:17 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\scratch\google_play_upload\content\9798295778926.epub","877376","7/8/2026 7:27:42 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\scratch\google_play_upload\content\9798256009809.epub","4244535","7/3/2026 5:30:19 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\scratch\google_play_upload\content\9798256009625.epub","7488233","7/3/2026 5:30:16 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\scratch\google_play_upload\content\9798256008819.epub","6152309","7/3/2026 5:30:12 PM"
"C:\Users\zh577\.gemini\antigravity\scratch\jasoncholloway\groundswell-monitor\corpus\INTERIOR_MASTERS_X_OMNIBUS_v7_updated.pdf","1345451","5/31/2026 11:09:07 AM"
