Contact Name,Organization/Store,Channel Type,Date Contacted,Angle/Pitch Used,Outcome/Response,Next Step
Buyer/Owner,Prospero's Books,Bookstore (Consignment),,,
Buyer/Owner,New Material,Bookstore (Consignment),,,
Buyer/Owner,Trailhead Books,Bookstore (Consignment),,,
Buyer/Owner,Rainy Day Books,Bookstore (Curated),,,
Submission Portal,The Raven Book Store,Bookstore (Consignment),,,
Events Coordinator,Bliss Books & Wine,Bookstore (Events),,,
Readers' Services,KC Public Library (Plaza),Library (Events),,,
Anne Kniggendorf / News Desk,KCUR Arts Desk,Press,,,
Brock Wilbur,The Pitch KC,Press,,,
Chris Lester / Clarence Dennis,Flatland KC,Press,,,
