ISBN,Title,Author,Publisher,Publication Date,Language,Book Type,Preview Setting,Notes
9798295778247,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes",Jason Carroll Holloway  Carroll,Seventh City Press,2-Apr-26,ENG,Print,Full,Academic monograph - full preview for scholarly discoverability
9798295778926,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes",Jason Carroll Holloway Carroll,Seventh City Press,2-Apr-26,ENG,Ebook,Full,Academic monograph - full preview for scholarly discoverability
9798295800801,Masters X: The Inheritance of Frequency,Jason Carroll Holloway  Carroll,Seventh City Press,14-May-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
9798295812675,Masters X: The Grimoire,Jason Carroll Holloway  Carroll,Seventh City Press,14-May-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
9798295812705,Masters X: The Kingdom,Jason Carroll Holloway Carroll,Sacred Books,14-May-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
9798349308444,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes",Jason Carroll Holloway Carroll,Seventh City Press,1-Jun-26,ENG,Print,Full,Academic monograph - full preview for scholarly discoverability
9798295884412,Masters X: The Complete Trilogy,Jason Carroll Holloway  Carroll,Seventh City Press,1-Jun-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
9798256008819,Masters X: The Inheritance of Frequency,Jason Carroll Holloway  Carroll,Seventh City Press,1-Jun-26,ENG,Ebook,Limited,Series fiction - limited preview to protect sales
9798256009625,Masters X: The Grimoire,Jason Carroll Holloway  Carroll,Seventh City Press,1-Jun-26,ENG,Ebook,Limited,Series fiction - limited preview to protect sales
9798256009809,Masters X: The Kingdom,Jason Carroll Holloway Carroll,Seventh City Press,1-Jun-26,ENG,Ebook,Limited,Series fiction - limited preview to protect sales
9798256008048,Masters X: The Inheritance of Frequency,Jason Carroll Holloway  Carroll,Seventh City Press,1-Jun-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
9798256009953,Masters X: The Grimoire,Jason Carroll Holloway  Carroll,Seventh City Press,1-Jun-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
9798256010072,Masters X: The Kingdom,Jason Carroll Holloway  Carroll,Seventh City Press,1-Jun-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
9798256072704,Masters X: The Complete Trilogy,Jason Carroll Holloway  Carroll,Seventh City Press,1-Jun-26,ENG,Print,Limited,Series fiction - limited preview to protect sales
